sample	tumor_fraction
LuCaP_35	0.6501
LuCaP_35CR	0.9708
LuCaP_49	0.9564
LuCaP_58	0.6321
LuCaP_70	0.9522
LuCaP_70CR_rep2	0.8905
LuCaP_78_rep2	0.9425
LuCaP_81	0.9396
LuCaP_92	0.6548
LuCaP_93	0.6418
LuCaP_96_rep2	0.6369
LuCaP_136_rep2	0.354
LuCaP_145_1	0.6366
LuCaP_145_2	0.9673
LuCaP_170_2	0.5198
LuCaP_173_1_rep2	0.6429
LuCaP_174_1	0.955
LuCaP_176	0.656
LuCaP_176CR_rep2	0.6564
LuCaP_189_3	0.4556
LuCaP_189_4_rep2	0.9726
LuCaP_208_4	0.9901
LuCaP_235_3	0.6564
