sample_id	AD_cleavage_profile_amplitude	AD_cleavage_profile_center_over_shoulder	AD_cleavage_profile_central_mean	AD_cleavage_profile_contrast	AD_cleavage_profile_phasing_strength	AD_cleavage_profile_shoulder_mean	AD_fraglen_global_max_len	AD_fraglen_global_min_len	AD_fraglen_mode	AD_fraglen_n_intervals	AD_fraglen_pooled_sd_len	AD_fraglen_short_frac_s150	AD_fraglen_total_fragments	AD_fraglen_weighted_mean_len	AD_fraglen_weighted_median_len	AD_motif_frac_AT_rich	AD_motif_frac_CC_GG	AD_motif_frac_CGorGC	AD_motif_motif_entropy	AD_wps_amplitude	AD_wps_center_over_shoulder	AD_wps_central_mean	AD_wps_contrast	AD_wps_phasing_strength	AD_wps_shoulder_mean	NE_cleavage_profile_amplitude	NE_cleavage_profile_center_over_shoulder	NE_cleavage_profile_central_mean	NE_cleavage_profile_contrast	NE_cleavage_profile_phasing_strength	NE_cleavage_profile_shoulder_mean	NE_fraglen_global_max_len	NE_fraglen_global_min_len	NE_fraglen_mode	NE_fraglen_n_intervals	NE_fraglen_pooled_sd_len	NE_fraglen_short_frac_s150	NE_fraglen_total_fragments	NE_fraglen_weighted_mean_len	NE_fraglen_weighted_median_len	NE_motif_frac_AT_rich	NE_motif_frac_CC_GG	NE_motif_frac_CGorGC	NE_motif_motif_entropy	NE_wps_amplitude	NE_wps_center_over_shoulder	NE_wps_central_mean	NE_wps_contrast	NE_wps_phasing_strength	NE_wps_shoulder_mean
63XS	0.0365626796958722	1.02942043065835	0.5201006665938901	0.0148642723042725	-0.2175995195785555	0.5052363942896175	200.0	100.0	summary	5768	17.34231981241973	0.2247092486616208	21668	162.7632453387484	161.5	0.1918620769893959	0.2050406317484781	0.0805714549618216	7.641411297195121	0.0904821002959006	1.038731547107237	-1.7955463945368364	-0.066951167466615	-0.0305917817664905	-1.7285952270702214	0.0425456450790863	0.9880332068199996	0.5239741790452968	-0.0063462347105484	-0.2323972050745713	0.5303204137558452	200.0	100.0	summary	11383	17.40831564581718	0.2250884499977607	44658	162.82265215638856	161.5	0.1468025544085831	0.2457161938089981	0.0977825109173668	7.587750278684746	0.1422530274971936	1.032765362612304	-0.7022435908335507	-0.0222792772964687	-0.0520483176125576	-0.679964313537082
BH51	0.0567454464132546	0.9780574779557608	0.465122810413798	-0.0104349363414865	-0.207469170395274	0.4755577467552845	200.0	100.0	summary	5621	17.206285879758088	0.2187534718364626	18002	162.9668370181091	161.0	0.2021441949562032	0.198311298958024	0.0798522438978261	7.657903113200397	0.0587724521205887	0.9879977080421416	-1.4583341105252692	0.0177159841810903	0.0068952210192448	-1.4760500947063595	0.0512602635335061	0.9941771431852372	0.4775977770742206	-0.0027972715828511	-0.2176521156647596	0.4803950486570717	200.0	100.0	summary	11099	16.974909462881232	0.214860887432665	36014	163.39365246848448	161.5	0.1488930235114819	0.2374510429235385	0.0968221361709675	7.606270504874396	0.1015924924296888	0.9037568654455508	-0.5051746781310603	0.0537972062839033	-0.0336230163714786	-0.5589718844149637
EJ37	0.0600940083209836	0.99313926985128	0.5899892548837707	-0.0040757194799154	-0.2652733928630989	0.5940649743636862	200.0	100.0	summary	5883	17.07924496892566	0.2627362366474938	29208	160.27129553546973	159.5	0.1966236406284934	0.2029757175751396	0.0809334672088706	7.651056387310955	0.0446166823097717	1.0141951719912492	-2.4177567754306875	-0.0338401071194831	-0.0290021369520139	-2.3839166683112043	0.0510434997489066	0.9749462945165897	0.6026314747532096	-0.0154861365886684	-0.273438937320523	0.618117611341878	200.0	100.0	summary	11608	16.916154367583637	0.254953413828038	60211	160.71066748600754	160.0	0.1486001514332394	0.2434908821677272	0.0958544523521094	7.593016925992284	0.3460703821980506	1.1472590896595258	-1.048227641484289	-0.1345476794494069	-0.0145410666350099	-0.913679962034882
FS71	0.0543048570665335	0.9845626761697244	0.5781085803399452	-0.0090643791195575	-0.2587660317872617	0.5871729594595028	200.0	100.0	summary	5885	17.453448781147973	0.2434262377301712	27914	161.63079458336318	161.0	0.1958975356957453	0.2023109774100623	0.0794697284017907	7.657822702233668	0.0391119932946528	1.0038045712291377	-2.29882640743281	-0.0087128999619827	-0.0120412450392199	-2.290113507470828	0.0445019188178938	0.973154326166879	0.5880314555719061	-0.0162215799030335	-0.2679486421475246	0.6042530354749396	200.0	100.0	summary	11593	17.29346876588458	0.2343593636771455	57958	162.09248076193106	161.0	0.1472339794027465	0.2440493460774213	0.0979459723472724	7.587788533812213	0.2226020842182517	1.0701625617957116	-1.0821153090898332	-0.0709462141122765	-0.0233295688868742	-1.0111690949775567
GS47	0.0448805004444016	0.9808908449683906	0.4681396305276363	-0.0091200288208228	-0.2075845567109438	0.4772596593484591	200.0	100.0	summary	5690	18.50791372590663	0.2540721814116896	18786	161.54317044607686	160.0	0.1926107318903065	0.2025926237257727	0.0775660151084005	7.64620654791038	0.0520628362423585	1.0035503144466225	-1.5586473748289935	-0.0055141114624601	0.0046524672019359	-1.5531332633665336	0.0389063735928546	0.9718615731875788	0.4855980305309505	-0.014059579079287	-0.2222611317320015	0.4996576096102376	200.0	100.0	summary	11224	18.266353853719583	0.2490064160843702	38497	161.84723484946878	160.0	0.1462410017643712	0.2444972775087868	0.0961123663612252	7.585621047277248	0.3340487667678229	0.9130556989530902	-0.6692707246888345	0.0637302581167275	0.0616860460647848	-0.733000982805562
IL49	0.0378471270291768	0.973361391286934	0.4762585878328896	-0.0130340758130376	-0.2152602684630161	0.4892926636459272	200.0	100.0	summary	5652	15.652425094596842	0.1911140995138098	19334	164.14285714285714	162.5	0.1900093166850246	0.2100579478605521	0.0742704903684554	7.646844218533582	0.0699155740856292	1.0194501115145544	-1.594388589297247	-0.0304193756115176	0.0111474565378134	-1.5639692136857293	0.0483808923095471	0.984672575070474	0.5106899611029395	-0.0079494059642187	-0.2368478338627556	0.5186393670671583	200.0	100.0	summary	11311	15.823478907915351	0.1942012745990615	42837	163.98489623456356	162.0	0.1501050994623272	0.245189162354828	0.088895370097493	7.584532354545325	0.374207974314994	1.3684684628495905	-0.8735174685259738	-0.2351998950928016	-0.0352409529548023	-0.6383175734331722
JA42	0.0424187835693669	1.0168559745570436	0.5569964096637519	0.0092330846693866	-0.2364871605292415	0.5477633249943652	200.0	100.0	summary	5832	16.50512125978851	0.2355852412183639	24853	161.57852170764093	160.5	0.1950905468285939	0.2050301740331456	0.0754929544516928	7.638295250121267	0.0657954029041629	1.0242189642290735	-2.061003927392185	-0.0487350675361324	-0.0277085406486827	-2.0122688598560527	0.0506313492423707	0.9910723774703784	0.5639706633675547	-0.0050802719506489	-0.2547169446346938	0.5690509353182037	200.0	100.0	summary	11499	16.14479767009604	0.2252229691984666	51913	162.06433841234372	161.0	0.1492540174048547	0.2444485055179952	0.0893056816734997	7.588666696132096	0.236706089117673	1.1322824287471644	-1.0117539332103114	-0.1182013110701039	-0.0305800109211786	-0.8935526221402075
JE49	0.0550654389682857	0.9580021884211186	0.555261489803856	-0.0243420815814884	-0.2576968389839421	0.5796035713853445	200.0	100.0	summary	5873	17.22133976534469	0.2347226804501631	27279	162.0701272040764	161.0	0.1932101605918451	0.2073434323881882	0.0780906314753154	7.636210600603598	0.0871243402135744	1.0161452296210325	-2.232754385363917	-0.0354755709993455	-0.0341069350353238	-2.197278814364572	0.0541938944652559	0.9717657034149708	0.5811661015041888	-0.0168855682160531	-0.2673189313763296	0.5980516697202419	200.0	100.0	summary	11584	17.074792840998484	0.2310907183126145	56229	162.3417275782959	161.5	0.1460672221863051	0.2497464585193759	0.0942765120826903	7.573701340111087	0.2679098612406126	1.0122313661228883	-1.0389939353740412	-0.0125547534371481	0.0231724340223824	-1.026439181936893
JE74	0.0370177630554642	0.984624708187858	0.4550063344086479	-0.0071050981249307	-0.2092626351230179	0.4621114325335787	200.0	100.0	summary	5550	17.413308908774358	0.2441471571906354	16744	161.7136884854276	160.0	0.1924570023899807	0.2072384091486947	0.0748327768006446	7.640133649008564	0.0628145227738656	1.0031325854540474	-1.3721307020338225	-0.0042848938819961	0.0056470498073645	-1.3678458081518263	0.0393170763692045	0.9818559821687372	0.4572580727213285	-0.008449812167584	-0.2023136721534298	0.4657078848889125	200.0	100.0	summary	11062	17.271944982872466	0.2397675809621464	35109	162.0794383206585	160.5	0.1474970827359166	0.2453916006418309	0.096783387373681	7.597194864044856	0.0737329843866825	1.046637195594808	-0.6046583449828492	-0.0269430224930732	0.0306080856808283	-0.577715322489776
LAAF63	0.0333032339639232	0.9780607820689176	0.469513184015414	-0.0105318117794694	-0.2109676246744501	0.4800449957948834	200.0	100.0	summary	5679	17.17764175690412	0.24016318642976	18629	161.89339202318965	160.0	0.1917109635673271	0.2054276012921218	0.0749986606142444	7.63621462201785	0.0850440854725609	1.0171973071675495	-1.5527305781907146	-0.0262513324734885	-0.0208089095918972	-1.526479245717226	0.0507369619858592	0.9815653435717772	0.4842596708333186	-0.0090948205458964	-0.2163851235838886	0.493354491379215	200.0	100.0	summary	11166	16.917837680435923	0.2268276676729229	38095	162.58480115500723	161.0	0.1477600956635092	0.2462186798451144	0.0951105485538472	7.5835381198759215	0.1143068887162223	1.125716933146286	-0.6810825533378678	-0.0760614034522582	0.0007259190615192	-0.6050211498856096
