sample	tumor_fraction
35_LuCaP	0.6501
35CR_LuCaP	0.9708
49_LuCaP	0.9564
58_LuCaP	0.6321
70_LuCaP	0.9522
70CR_rep2_LuCaP	0.8905
78_rep2_LuCaP	0.9425
81_LuCaP	0.9396
92_LuCaP	0.6548
93_LuCaP	0.6418
96_rep2_LuCaP	0.6369
136_rep2_LuCaP	0.354
145_1_LuCaP	0.6366
145_2_LuCaP	0.9673
173_1_rep2_LuCaP	0.6429
174_1_LuCaP	0.955
189_3_LuCaP	0.4556
189_4_rep2_LuCaP	0.9726
208_4_LuCaP	0.9901
235_3_LuCaP	0.6564
