tf_name	direction	auc_mag	sAUC_dir	d	p	p_adj	AUC_AR	sAUC_AR	AUC_NE	sAUC_NE	mean_AR	mean_NE	n_ARPC	n_NEPC
NKX3-1	ARPC-high	1	1	3.9287118175158366	5.159958720330237e-5	0.002315531475748194	1	1	0	-1	0.154492364531535	0.04542874413452751	14	6
AR	ARPC-high	1	1	3.2494464347817997	5.159958720330237e-5	0.002315531475748194	1	1	0	-1	0.17019284832824091	0.04408039279702528	14	6
ERF	ARPC-high	1	1	3.1894652717267182	5.159958720330237e-5	0.002315531475748194	1	1	0	-1	0.20968145953426107	0.1346756794139589	14	6
ASCL1	NEPC-high	1	1	-3.132693796673146	5.159958720330237e-5	0.002315531475748194	0	-1	1	1	0.0239046266596506	0.16854789525909286	14	6
REST	ARPC-high	1	1	3.126596080872741	5.159958720330237e-5	0.002315531475748194	1	1	0	-1	0.19652244049631556	0.07493980676974372	14	6
HNF4G	ARPC-high	1	1	2.879337413034571	5.159958720330237e-5	0.002315531475748194	1	1	0	-1	0.14364141699454858	0.044138878594384895	14	6
HOXB13	ARPC-high	1	1	2.6978243187185256	5.159958720330237e-5	0.002315531475748194	1	1	0	-1	0.13009784267633295	0.021138157661263198	14	6
KLF6	ARPC-high	1	1	2.58721486191231	5.159958720330237e-5	0.002315531475748194	1	1	0	-1	0.139029367011833	0.09562706567218957	14	6
NEUROG2	NEPC-high	0.9880952380952381	0.9880952380952381	-2.518082061604391	1.0319917440660474e-4	0.0033680457829064637	0.011904761904761904	-0.9880952380952381	0.9880952380952381	0.9880952380952381	-0.04095233143217469	0.01963911868556703	14	6
TCF4	NEPC-high	0.9880952380952381	0.9880952380952381	-2.2884686827244973	1.0319917440660474e-4	0.0033680457829064637	0.011904761904761904	-0.9880952380952381	0.9880952380952381	0.9880952380952381	-0.00754395292032695	0.04768602077309751	14	6
MYOD1	NEPC-high	0.9880952380952381	0.9880952380952381	-2.256632824213931	1.0319917440660474e-4	0.0033680457829064637	0.011904761904761904	-0.9880952380952381	0.9880952380952381	0.9880952380952381	0.004096732081930945	0.07608754741093045	14	6
MYOG	NEPC-high	0.9642857142857143	0.9642857142857143	-2.436649659240165	3.611971104231166e-4	0.010805813553491573	0.03571428571428571	-0.9642857142857143	0.9642857142857143	0.9642857142857143	-0.037651108880447114	-2.245843283119997e-4	14	6
TCF3	NEPC-high	0.9523809523809523	0.9523809523809523	-2.173806103739574	6.191950464396285e-4	0.015877930119416187	0.047619047619047616	-0.9523809523809523	0.9523809523809523	0.9523809523809523	0.015653766380377025	0.06944434052284018	14	6
ZSCAN9	ARPC-high	0.9523809523809523	0.9523809523809523	2.033907029734266	6.191950464396285e-4	0.015877930119416187	0.9523809523809523	0.9523809523809523	0.047619047619047616	-0.9523809523809523	0.25712681416769	0.2003981934922852	14	6
PGR	ARPC-high	0.9404761904761905	0.9404761904761905	2.607834746733738	9.80392156862745e-4	0.017598039215686274	0.9404761904761905	0.9404761904761905	0.05952380952380952	-0.9404761904761905	0.13357212026299037	0.05501193878561307	14	6
SOX2	NEPC-high	0.9404761904761905	0.9404761904761905	-2.28050414343131	9.80392156862745e-4	0.017598039215686274	0.05952380952380952	-0.9404761904761905	0.9404761904761905	0.9404761904761905	0.011698284183667586	0.05203947443774623	14	6
LYL1	NEPC-high	0.9404761904761905	0.9404761904761905	-2.1379695990802063	9.80392156862745e-4	0.017598039215686274	0.05952380952380952	-0.9404761904761905	0.9404761904761905	0.9404761904761905	-0.00579796136986123	0.03150058612943805	14	6
MYB	NEPC-high	0.9404761904761905	0.9404761904761905	-2.1326712994070722	9.80392156862745e-4	0.017598039215686274	0.05952380952380952	-0.9404761904761905	0.9404761904761905	0.9404761904761905	0.056756127095061344	0.0989939140440531	14	6
MYF5	NEPC-high	0.9404761904761905	0.9404761904761905	-2.0940412627355345	9.80392156862745e-4	0.017598039215686274	0.05952380952380952	-0.9404761904761905	0.9404761904761905	0.9404761904761905	-0.06490912163608528	-0.0282943183061183	14	6
