tf_name	AUC_AR	sAUC_AR	AUC_NE	sAUC_NE	mean_AR	mean_NE	direction	d	p	n_ARPC	n_NEPC	sAUC_dir	p_adj
ASCL1	0	-1	1	1	0.0239046266596506	0.16854789525909286	NEPC_high	-3.132693796673146	5.159958720330237e-5	14	6	1	0.002315531475748194
SOX2	0.05952380952380952	-0.9404761904761905	0.9404761904761905	0.9404761904761905	0.011698284183667586	0.05203947443774623	NEPC_high	-2.28050414343131	9.80392156862745e-4	14	6	0.9404761904761905	0.017598039215686274
NEUROD1	0.15476190476190477	-0.8452380952380952	0.8452380952380952	0.8452380952380952	0.022699316241133534	0.05712431702936665	NEPC_high	-1.4161518144256113	0.015376676986584107	14	6	0.8452380952380952	0.07774967659413654
